area_id,area_name,price_per_sqft,congestion_score,aqi,growth_score,price_norm,congestion_norm,aqi_norm,growth_norm,price_score,congestion_score_final,aqi_score,final_score,rank
10,Ravet,7000,4,135,7,0.0,0.0,0.0,0.25,1.0,1.0,1.0,0.8125,1.0
1,Wakad,9000,7,155,8,0.3448275862068966,0.6,0.3333333333333333,0.5,0.6551724137931034,0.4,0.6666666666666667,0.5548850574712644,2.0
8,Balewadi,10900,5,140,7,0.6724137931034483,0.2,0.08333333333333333,0.25,0.3275862068965517,0.8,0.9166666666666666,0.5441091954022989,3.0
2,Hinjawadi,8800,9,185,10,0.3103448275862069,1.0,0.8333333333333334,1.0,0.6896551724137931,0.0,0.16666666666666663,0.4902298850574712,4.0
7,Pimple Saudagar,9500,6,145,6,0.43103448275862066,0.4,0.16666666666666666,0.0,0.5689655172413793,0.6,0.8333333333333334,0.48735632183908045,5.0
9,Hadapsar,9000,8,195,9,0.3448275862068966,0.8,1.0,0.75,0.6551724137931034,0.19999999999999996,0.0,0.434051724137931,6.0
4,Kharadi,10500,7,190,9,0.603448275862069,0.6,0.9166666666666666,0.75,0.39655172413793105,0.4,0.08333333333333337,0.42313218390804597,7.0
5,Aundh,12000,6,150,7,0.8620689655172413,0.4,0.25,0.25,0.13793103448275867,0.6,0.75,0.4038793103448276,8.0
6,Baner,11500,7,165,8,0.7758620689655172,0.6,0.5,0.5,0.22413793103448276,0.4,0.5,0.39224137931034486,9.0
3,Viman Nagar,12800,8,175,8,1.0,0.8,0.6666666666666666,0.5,0.0,0.19999999999999996,0.33333333333333337,0.24166666666666667,10.0
